ym,base_rate,usd_krw,cpi,industrial,export,import_,bond_3y,cli,bsi,current_acct,capex,m2
202309,3.5,1337.135,112.85,113.35,54650691.0,50972525.0,3.842,98.9,82.61666666666666,4696.7,107.4,3707489.5
202310,3.5,1351.745,113.27,112.2,54989950.0,53440582.0,4.031,99.1,79.95,7837.0,111.1,3724082.9
202311,3.5,1299.6950000000002,112.68,114.45,55561090.0,51997805.0,3.771,99.3,79.81666666666666,6527.5,108.2,3756518.2
202312,3.5,1296.69,112.73,120.0,57573193.0,53122854.0,3.35,99.5,79.58333333333333,6651.9,112.9,3747579.6
202401,3.5,1327.085,113.17,112.1,54709823.0,54474611.0,3.266,99.5,79.21666666666667,8841.8,103.0,3725946.1
202402,3.5,1332.87,113.78,110.05,52076390.0,48221860.0,3.351,99.7,78.61666666666666,6783.4,113.2,3758300.3
202403,3.5,1338.745,113.95,114.1,56518309.0,52112905.0,3.31,99.7,78.88333333333334,7430.9,105.9,3811740.1
202404,3.5,1373.265,114.01,113.8,56148299.0,54821181.0,3.439,99.9,80.36666666666666,5386.6,109.6,3814826.3
202405,3.5,1370.9450000000002,114.1,113.9,58020557.0,53132937.0,3.432,100.0,81.63333333333334,9378.6,104.1,3811701.4
202406,3.5,1384.665,113.84,114.6,57341634.0,49090193.0,3.262,100.1,83.41666666666667,10046.3,109.6,3809703.4
202407,3.5,1383.99,114.13,111.9,57458788.0,53838742.0,3.083,100.0,82.64999999999999,7990.5,118.9,3825246.7
202408,3.5,1344.725,114.54,112.65,57642924.0,54054894.0,2.924,99.8,81.21666666666667,7070.1,109.6,3828979.7
202409,3.5,1327.21,114.65,112.25,58544693.0,52102925.0,2.868,99.8,80.33333333333333,9452.0,114.5,3845751.5
202410,3.25,1372.15,114.69,114.55,57500192.0,54331589.0,2.911,99.8,80.83333333333333,8696.5,114.7,3856940.4
202411,3.0,1394.04,114.4,113.85,56288629.0,50718992.0,2.858,99.8,80.88333333333334,9426.5,110.5,3881925.7
202412,3.0,1452.21,114.91,121.65,61359250.0,54866380.0,2.59,99.5,77.96666666666667,9469.9,124.0,3906282.9
202501,3.0,1444.545,115.71,110.65,49176984.0,51172292.0,2.571,99.2,76.39999999999999,9156.7,105.5,3921714.4
202502,2.75,1442.58,116.08,111.0,52294560.0,48329049.0,2.611,99.3,76.3,8670.6,115.0,3920448.5
202503,2.75,1461.725,116.29,116.7,58064562.0,53341032.0,2.59,99.5,77.55,8870.5,120.9,3924087.0
202504,2.75,1441.405,116.38,114.75,58035745.0,53232716.0,2.395,99.7,77.91666666666667,8897.1,117.5,3935845.0
202505,2.5,1387.9450000000002,116.27,113.75,57261962.0,50304603.0,2.331,99.8,80.2,9855.8,112.7,3955366.9
202506,2.5,1361.6750000000002,116.31,117.15,59831183.0,50810101.0,2.441,100.0,79.28333333333333,10086.9,112.2,3972892.3
202507,2.5,1379.06,116.52,115.0,60726504.0,54190714.0,2.465,100.5,79.25,11101.6,114.1,3993116.2
202508,2.5,1389.13,116.45,113.35,58272144.0,51853002.0,2.427,100.9,80.25,10487.3,110.6,4031011.4
202509,2.5,1397.015,117.06,118.35,65907865.0,56408389.0,2.464,100.9,80.68333333333334,9476.5,119.6,4055458.9
202510,2.5,1423.28,117.42,112.25,59517485.0,53500265.0,2.601,100.9,80.35000000000001,9285.9,112.0,4056854.5
202511,2.5,1461.285,117.2,115.05,60752618.0,51284605.0,2.88,101.1,80.60000000000001,12171.5,111.9,4066699.3
202512,2.5,1451.15,117.57,123.4,69513624.0,57367684.0,3.01,101.6,81.7,14993.3,107.1,4089671.2
